objectid,title,creator,date,description,source,subject,location,material,purpose,format,resolution,item size,rights,filename
Tea 001,Tea Leaves Being a Collection of Letters and Documents relating to the shipment of tea to the American Colonies in the year 1773 by the East India Tea Company.,"Francis S. Drake, digitized by Ian Frederick-Rothwell",2007-11-15,A digital image of every page so that you can read the entire book.  It contains letters and information that documents the tea trade in Boston Harbor prior to the American Revolution.,https://archive.org/details/tealeavesbeingco00drakrich/page/208/mode/2up,"Tea--History, Tea tax (American colonies), Boston Tea Party, Boston, Mass., 1773",California Digital Library,N/A,To preserve this book which was published in 1884 in digital form to be made available to researchers and to the public.  This was included in the collection to show the research side of the economics and politics of tea prior to the American Revolution.,image/jpeg,1466 x 1005 pixels,549.1 M,Public Domain,tealeaves.jpg
Tea 002,Japanese Tea Set ,Wendy Burkett,2026-04-19,Blue floral tea pot with 5 matching tea cups with no handles.,N/A,"Japanese Tea Ceremony, teacup, teapot, Pottery--Japan","Winterset, Iowa",Ceramic,"The purpose of a Japanese tea set is to be used in a Japanese tea ceremony.  This was included in the collection to show rituals that are associated with tea as well as the beauty of ceramics that are created for tea. This tea set was gifted to our family by our Japanese exchage student, Ayame Hiraki.",image/jpeg,480 x 640 pixels,93 KB,Owned by Wendy Burkett,teaset.jpeg
Tea 003,Queen Elizabeth II Centenary Teacup and Saucer,Wendy Burkett,2026-04-06,Digital image of pink floral Queen Elizabeth II teacup and saucer with central ER Cypher and gold details,N/A,"Teacups, Ceramic Tableware-England, Afternoon Tea, Elizabeth II, Queen of Great Britain,
1926-2022","Winterset, Iowa",Ceramic,"To hold tea to drink and often served with dainty sandwiches, cakes or biscuits. Used in
afternoon tea rituals or stored in a collection of decorated ceramics appreciated for their beautiful artistry",image/jpeg,481 x 640 pixels,80 KB,Owned by Wendy Burkett,elizabeth.jpeg
Tea 004,Whittard Covent Garden loose leaf tea mini caddy,Wendy Burkett,2026-04-19,Digital image of a metal container from Whittard of Chelsea used to hold Covent Garden tea blend. The container holds 1.2 oz of tea and features London's famous red telephone booths and double decker buses. ,N/A,"Tea Container, Tea Packaging, London, England, Tea--England","Winterset, Iowa",Tin plated steel metal,To store loose tea and keep tea safe from moisture and light in order to prolong the flavor of the tea. Containers are often decorative and collectible.,image/jpeg,480 x 640 pixels,115 KB,Owned by Wendy Burkett,whittard.jpeg
Tea 005,Red Dragon Russian Earl Grey loose leaf black tea,Wendy Burkett,2026-04-19,"Digital image of Earl Grey loose leaf black tea with lemongrass, orange peel, coneflower, and bergomot oil. Earl Grey represents European aristocracy while citrus flavor represents Russia and the trade between the Black Sea coast and Europe.",N/A,"Tea, black tea, Tea Blending, Polk Co., Iowa","Winterset, Iowa","Earl Grey black tea, lemongrass, orange peel, coneflower, bergomot oil",To seep in hot water and enjoy as a beverage,image/jpeg,3024 x 4032 pixels,2 MB,Owned by Wendy Burkett,russianearlgrey.jpeg
Tea 006,Gong Fu Blue Spring Oolong tea,Wendy Burkett,2026-04-19,"Digital image of Chinese tea leaves, partially oxidized and hand rolled in a licorice power to produce a tea with the appearance of small pebbles",N/A,"Tea--China, Des Moines, Iowa. East Village","Winterset, Iowa",Oolong tea,To seep in hot water and enjoy as a beverage,image/jpeg,480 x 640 pixels,87 KB,Owned by Wendy Burkett,oolong.jpeg
Tea 007,"Harney & Sons How to Read Tea Leaves, A Card Deck and Guidebook for Divination",Wendy Burkett,2026-04-06,"Digital image of an illustrated guidebook with deck of 66 cards that teaches readers how to practice and
understand Tasseography, a type of divination most often referred to as tea leaf reading.",N/A,"Fortune-telling by tea leaves, tea leaf reading, Divination","Winterset, Iowa","Paper, plastic",To provide entertainment or use as a tool for divination.,image/jpeg,480 x 640 pixels,94 KB,Owned by Wendy Burkett,teareading.jpeg
Tea 008,Intension Stirring Crystal Spoon,Wendy Burkett,2026-04-19,Digital image of a small stirring spoon with a crystal at the tip.,N/A,"Tea meditations, Tea spoons (flatware)","Winterset, Iowa","Brass, quartz crystal",To stir tea while infusing and experience the spirituality of manifestation.,image/jpeg,640 x 480 pixels,142 KB,Owned by Wendy Burkett,spoon.jpeg
Tea 009,"Oliver Pluff & Co, Teas of the Boston Tea Party",Wendy Burkett,2026-04-18,"Glass vial with Lapsang Souchong black tea. Lapsang Souchong is a black tea whose flavor is strong and smoky, and meant to
complement the natural taste of black tea, without overpowering. The British East India Company
included Souchong teas as its common imports to colonial America. In the Boston Tea Party, 35 chests
of Souchong tea were destroyed.",https://oliverpluff.com/collections/best-sellers/products/teas-of-the-boston-tea-party-1,"Tea History, Boston Tea Party","Winterset, Iowa","Black tea, glass tube, cork",To provide tea enthusiasts with the opportunity to make and consume tea from the period of the American Revolution.,image/jpeg,480 x 640 pixels,93 KB,Owned by Wendy Burkett,oliver.jpeg
Tea 010,Loki Icelandic Herbal Tea,Wendy Burkett,2026-04-19,Box with the title Loki The Nordic Trickster Blend of tea which contains 10 teabags.,N/A,"Tea bags, Herbal Teas, Loki (Norse deity)","Winterset, Iowa","Wild Icelandic herbs of birch, Arctic Thyme, and Iceland Moss.  ",To seep in hot water and enjoy as a beverage. It is included in the collection to show variety of tea in many places around the world.,image/jpeg,480 x 640 pixels,114 KB,Owned by Wendy Burkett,loki.jpeg
Tea 011,The Destruction of Tea at Boston Harbor,Nathaniel Currier,2022-08-30,"Digital image of the 1846 lithograph entitled ""The Destruction of Tea at Boston Harbor"" depicting the 1773 Boston Tea Party.",https://springfieldmuseums.org/blog/portfolio-item/the-destruction-of-tea-at-boston-harbor-nathaniel-currier/,"Tea--Political aspects--United States--History--18th century, Boston Mass., 1773, Currier, Nathaniel, 1813-1888, Lithographs--1840-1850",Springfield Museums,N/A,The purpose is to preserve the original lithogragh in digital form.  This image is included in the collection to show that the history of the founding of America was largely intertwined with tea.,image/jpeg,1685 x 1127 pixels,1.3 M,Public Domain,boston.jpeg
Tea 012,Bridgerton Spilling the Tea Since 1813 Sticker,Wendy Burkett,2026-04-19,"Digital image of Regency Gossip Silhouette ""Spilling the Tea Since 1813"" vintage art sticker by ObsidPyth-Arts size small 2.9 in x 3.2 in ",N/A,"Tea--Anecdotes, Art Stickers, Bridgerton (Television program)--miscellanea","Winterset, Iowa",Paper,"The purpose of the sticker in the collection is to show how the term ""spilling the tea"" is used in our culture as well as an understanding of the different meanings for tea.  Stickers are used to decorate water bottles, and computer cases to bring joy and amusement.",image/jpeg,480 x 640 pixels,109 KB,Owned by Wendy Burkett,sticker.jpeg
Tea 013,Wood Engraving of the Mad Tea Party ,"Sir John Tenniel, Illustrator, Thomas Dalziel, wood-engraver",2010-02-28,"Digital image of illustration of ""A Mad Tea Party"" in chapter in Lewis Carroll's Alice's Adventures in Wonderland.  The illustration shows Alice, the March Hare, Dormouse, and the Mad Hatter at a table having a tea party. Text on Hatter's hat reads ""In this style 10/6"".",https://www.illustrationhistory.org/illustrations/the-mad-tea-party,"Tea parties, Tea--Pictorial works,",Norman Rockwell Museum Illustration History,N/A,The purpose of this digital image is to preserve John Tenniel's illustration of the Mad Tea Party in Alice in Wonderland and to include it in this collection to show the presense of tea in popular culture. ,image/jpeg,1200 x 925 pixels,1.3 M,Public Domain,alice.jpeg
Tea 014,Harney & Sons Blueberry Green Tea,Wendy Burkett,2026-04-18,"One pound package of blueberry green tea blended with lemongrass, and vanilla. Produced by American tea company, Harney & Sons.",N/A,"Green Tea, ","Winterset, Iowa","Chinese green tea, lemongrass, blueberry, vanilla",To seep in hot water and enjoy as a beverage,image/jpeg,480 x 640 pixels,111 KB,Owned by Wendy Burkett,greentea.jpeg
Tea 015,Whittard Tea Party Infuser,Wendy Burkett,2026-04-19,Digital image of a stainless steel tea infuser shaped like a tea pot with matching stainless steel saucer.,N/A,"Tea Balls, Tea Infusers,","Winterset, Iowa",Stainless Steel,Tea is filled in the teapot and then the lid is closed.  Drop in one serving of boiling water to infuse.  The shape and style of the infuser is whimsical. It is included in the collection to show that infusers come in many styles and are needed to make tea as a drink.,image/jpeg,480 x 640 pixels,151 KB,Owned by Wendy Burkett,infuser.jpeg
Tea 016,Tea Sommelier: A Step-By-Step Guide,Wendy Burkett,2026-04-19,Digital image of the book Tea Sommelier which sets out how to become a professional tea master.,N/A,"Tea in literature, Tea masters, Tea tasting","Winterset, Iowa",Paper,The purpose of the digital image of this book is to show the profession of a Tea Sommelier and how to become one. It is included in the collection to show what can be done professionally today with all aspects of tea. ,image/jpeg,480 x 640 pixels,86 KB,Owned by Wendy Burkett,sommelier.jpeg
